static_case,month,outlet_id,static_price,static_demand,static_profit,opt_price,opt_demand,opt_profit,profit_diff_abs,profit_diff_pct_vs_static
month,November,OUT013,316.85,19.088685796438575,2757.607799028934,320.0,19.0,2774.2457553712475,16.637956342313373,0.6033474502129083
month,November,OUT017,316.85,19.088685796438575,2757.607799028934,320.0,19.0,2774.2457553712475,16.637956342313373,0.6033474502129083
month,November,OUT018,316.85,19.228765306781707,2785.1824506399794,320.0,19.0,2807.4813840354873,22.298933395507902,0.8006273840474634
month,November,OUT019,316.85,13.279267139594065,1614.023736429092,304.25,14.0,1625.7459264764725,11.722190047380536,0.7262712302679646
month,November,OUT027,316.85,22.18383580311732,3366.888077843645,320.0,22.0,3393.081809993716,26.1937321500709,0.7779804835938271
month,November,OUT035,316.85,19.088685796438575,2757.607799028934,320.0,19.0,2774.2457553712475,16.637956342313373,0.6033474502129083
month,November,OUT045,316.85,19.088685796438575,2757.607799028934,320.0,19.0,2774.2457553712475,16.637956342313373,0.6033474502129083
month,November,OUT046,316.85,19.088685796438575,2757.607799028934,320.0,19.0,2774.2457553712475,16.637956342313373,0.6033474502129083
month,November,OUT049,316.85,19.088685796438575,2757.607799028934,320.0,19.0,2774.2457553712475,16.637956342313373,0.6033474502129083
month,December,OUT010,297.6,10.399519896133736,846.9547335533516,264.0,13.0,943.969812411814,97.0150788584624,11.454576616089152
month,December,OUT013,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,December,OUT017,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,December,OUT018,297.6,16.033845384391732,1847.6109402679722,313.0,15.0,1868.9500623469107,21.339122078938544,1.1549575516068107
month,December,OUT019,297.6,10.399519896133736,846.9547335533516,264.0,13.0,943.969812411814,97.0150788584624,11.454576616089152
month,December,OUT027,297.6,19.154333676276867,2401.809660906772,320.0,17.0,2452.349385130396,50.539724223624034,2.104235195912378
month,December,OUT035,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,December,OUT045,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,December,OUT046,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
month,December,OUT049,297.6,16.053257520025664,1851.0585355565581,302.5,16.0,1854.4391823042652,3.3806467477070328,0.1826331627427748
